state_name,county_name,solar,wind,year,setback,height,noise,wildlife,agriculture,visual_impact,litigation
Alabama,Baldwin,0,1,NA,0,0,0,0,0,1,0
Alabama,Cherokee,0,1,2014,1,0,1,0,0,0,0
Alabama,DeKalb,0,1,NA,1,0,1,0,0,0,0
Alabama,Etowah,0,1,2014,1,0,1,0,0,0,0
Arizona,Mohave,0,0,2023,0,0,0,0,0,0,0
Arizona,Pinal,1,0,2022,0,0,0,0,0,0,0
California,Del Norte,0,1,NA,0,0,0,1,0,1,0
California,Los Angeles,1,1,NA,0,0,0,0,0,0,0
California,San Bernardino,1,1,2019,0,0,0,0,0,0,0
California,Santa Clara,1,0,2010,0,0,0,0,1,0,0
Colorado,Delta,1,0,2022,0,0,0,0,0,0,0
Colorado,Montrose,0,0,2022,0,0,0,0,0,0,0
Colorado,Rio Blanco,1,1,2023,0,0,0,0,0,0,0
Colorado,Washington,1,1,2020,0,0,0,0,0,0,0
Colorado,San Miguel,1,0,2023,0,0,0,0,0,1,0
Delaware,Kent,1,1,2022,0,0,0,0,1,0,0
Delaware,Sussex,1,0,NA,0,0,0,0,0,0,0
Georgia,Baldwin,1,0,2020,1,0,0,0,0,0,0
Georgia,Franklin,1,0,2022,0,0,0,0,0,0,0
Georgia,Grady,1,0,2017,0,0,0,0,0,0,0
Georgia,Greene,1,0,2020,1,0,0,0,0,1,0
Georgia,Jeff Davis,1,0,2023,0,0,0,0,0,0,0
Georgia,Lee,1,0,2019,0,0,0,0,0,0,0
Georgia,Oglethorpe,1,0,2023,0,0,0,0,0,0,0
Georgia,Thomas,1,0,2016,0,0,0,0,0,0,0
Hawaii,Honolulu,0,1,2020,1,0,0,0,0,0,0
Idaho,Bingham,0,1,2012,1,1,0,0,0,0,0
Idaho,Bonneville,0,1,2010,0,0,0,0,0,0,0
Idaho,Twin Falls,1,1,2023,0,0,0,0,0,0,0
Illinois,Boone,0,1,2015,1,1,1,0,0,0,0
Illinois,Christian,0,1,2020,1,1,1,0,0,0,0
Illinois,DeKalb,0,1,2018,1,0,1,0,0,1,0
Illinois,Ford,0,1,2017,1,1,1,0,0,0,0
Illinois,Lee,1,1,2021,1,0,0,0,0,1,0
Illinois,Monroe,1,1,2021,1,1,1,0,0,0,0
Illinois,Piatt,0,1,2020,1,0,0,0,0,0,0
Illinois,Tazewell,0,1,2022,1,0,0,0,0,0,0
Indiana,Allen,0,1,2019,0,1,0,0,0,0,0
Indiana,Boone,0,1,2009,0,0,0,0,0,0,0
Indiana,Clinton,0,1,2019,0,0,0,0,0,0,0
Indiana,Delaware,1,0,2022,1,0,0,0,0,0,0
Indiana,Fulton,0,1,2018,0,0,0,0,0,0,0
Indiana,Hamilton,1,1,2022,1,1,0,0,1,0,0
Indiana,Henry,0,1,2019,1,0,0,0,0,0,0
Indiana,Howard,0,1,2015,1,0,1,0,0,0,0
Indiana,Jasper,0,1,2019,1,0,0,0,0,0,0
Indiana,Kosciusko,1,0,2019,1,0,1,0,0,1,0
Indiana,Kosciusko,0,1,NA,1,0,1,0,0,1,0
Indiana,Lake,1,0,2016,0,0,0,0,0,0,0
Indiana,Madison,1,0,2023,1,0,0,0,0,0,0
Indiana,Marshall,0,1,2023,0,0,0,0,0,0,0
Indiana,Miami,0,1,2018,1,0,0,0,0,0,0
Indiana,Montgomery,0,1,2019,1,0,1,0,0,1,0
Indiana,Noble,0,1,2013,1,0,0,0,0,0,0
Indiana,Posey,1,1,2021,1,0,0,0,0,0,0
Indiana,Pulaski,0,1,2018,0,0,0,0,0,0,0
Indiana,Rush,0,1,2022,1,1,1,0,0,1,0
Indiana,Spencer,1,0,2023,0,0,0,0,0,0,0
Indiana,Tippecanoe,0,1,2019,0,1,0,0,0,0,0
Indiana,Tipton,0,1,2016,1,0,0,0,0,0,0
Indiana,Vermillion,0,1,2021,1,0,1,0,1,0,0
Indiana,Wabash,0,1,2017,1,0,1,0,0,1,0
Indiana,Wayne,0,1,2016,0,1,0,0,0,0,0
Indiana,Wells,0,1,2022,0,0,0,0,0,0,0
Indiana,Whitley,0,1,2016,1,0,0,0,0,0,0
Iowa,Adair,0,1,2019,0,0,0,0,0,0,0
Iowa,Butler,0,1,2022,1,0,1,0,0,0,0
Iowa,Cerro Gordo,1,1,2023,0,0,0,0,0,0,0
Iowa,Dallas,0,1,NA,1,0,1,0,0,0,0
Iowa,Greene,1,0,2022,1,0,0,0,0,0,0
Iowa,Grundy,0,1,2023,1,0,0,0,0,0,0
Iowa,Hardin,0,1,2019,0,0,0,0,0,0,0
Iowa,Johnson,1,0,2021,0,0,0,0,0,0,0
Iowa,Linn,1,0,2023,0,0,0,0,0,0,0
Iowa,Madison,1,1,2020,1,0,1,0,0,0,0
Iowa,Montgomery,0,1,2023,0,0,0,0,0,0,0
Iowa,Page,0,1,2022,0,0,0,0,0,0,0
Iowa,Palo Alto,0,1,2022,1,0,0,0,0,0,0
Iowa,Pottawattamie,0,1,2009,0,0,0,0,0,0,0
Iowa,Sioux,1,1,2023,0,0,0,0,0,0,0
Iowa,Union,0,1,2023,1,0,0,0,0,0,0
Iowa,Worth,0,1,2021,0,0,0,0,0,0,0
Iowa,Woodbury,1,1,2022,1,0,0,0,1,1,0
Kansas,Barton,1,0,2023,0,0,0,1,0,0,0
Kansas,Brown,0,1,2022,0,0,0,0,0,0,0
Kansas,Cherokee,0,1,2022,0,440,39,0,0,5250,0
Kansas,Cherokee,0,1,2021,1,1,1,0,0,0,0
Kansas,Douglas,0,1,2013,1,0,0,0,0,0,0
Kansas,Franklin,0,1,2023,0,0,0,0,0,0,0
Kansas,Harvey,1,1,2023,0,0,0,0,0,0,0
Kansas,Johnson,1,0,2022,0,0,0,0,0,0,0
Kansas,Kearny,0,1,2009,1,1,0,0,0,0,0
Kansas,Labette,0,1,2022,0,0,0,0,0,0,0
Kansas,Leavenworth,0,1,2022,1,1,0,0,0,0,0
Kansas,Linn,0,1,2020,0,0,0,0,0,0,0
Kansas,McPherson,1,1,2018,0,0,0,0,0,0,0
Kansas,Nemaha,0,1,2019,0,0,0,0,0,0,0
Kansas,Osage,1,1,2022,0,0,0,0,0,0,0
Kansas,Pratt,0,1,2012,1,0,0,0,0,0,0
Kansas,Reno,0,1,2021,0,0,0,0,0,0,0
Kansas,Sedgwick,1,1,2023,0,0,0,0,0,0,0
Kentucky,Boyle,1,0,2023,0,0,0,0,1,0,0
Kentucky,Christian,1,0,2023,1,0,0,0,0,0,0
Kentucky,Kenton,1,0,2023,0,0,0,0,0,1,0
Kentucky,Mason,1,0,2023,1,0,0,0,0,0,0
Kentucky,Meade,1,0,2023,0,0,0,0,1,0,0
Louisiana,Jefferson Davis,0,1,2020,1,0,0,0,0,0,0
Louisiana,St. James,1,0,2022,0,0,0,0,0,1,0
Louisiana,Washington,1,0,2021,0,0,0,0,0,0,0
Maine,Androscoggin,1,0,2021,0,0,0,0,0,0,0
Maine,Aroostook,0,1,2015,1,0,0,0,0,0,0
Maine,Franklin,1,0,2023,0,0,0,0,0,0,0
Maine,Hancock,1,0,2021,0,0,0,0,0,1,0
Maine,Kennebec,0,0,2023,0,0,0,0,1,0,0
Maine,Kennebec,1,0,2021,0,0,0,0,0,1,0
Maine,Kennebec,1,0,2023,1,0,0,0,0,0,0
Maine,Kennebec,0,1,2017,0,1,0,0,0,0,0
Maine,Kennebec,1,1,2020,0,1,0,0,0,0,0
Maine,Oxford,1,0,2023,0,0,0,0,0,0,0
Maine,Oxford,0,1,2017,1,0,0,0,1,0,0
Maine,Oxford,0,1,NA,1,0,1,0,0,0,0
Maine,Penobscot,1,0,2023,0,0,0,0,0,0,0
Maine,Penobscot,1,0,2022,0,0,0,0,0,0,0
Maine,Penobscot,1,0,2021,0,0,0,0,0,0,0
Maine,Penobscot,1,1,2021,1,0,0,0,0,0,0
Maine,Somerset,1,0,2022,0,0,0,0,0,0,0
Maine,Somerset,1,1,2023,0,0,0,0,0,0,0
Maine,Waldo,0,0,2023,0,0,0,0,0,0,0
Maine,Waldo,0,0,2023,0,0,0,0,0,0,0
Maine,Waldo,0,1,2015,1,1,1,0,0,0,0
Maine,Waldo,0,1,NA,1,1,1,0,0,0,0
Maine,Oxford,1,0,2022,0,0,0,0,0,1,0
Maryland,Allegany,0,1,NA,1,0,0,0,0,0,0
Maryland,Anne Arundel,0,0,NA,1,0,0,0,0,0,0
Maryland,Carroll,1,0,2023,0,0,0,0,1,0,0
Maryland,Somerset,0,0,"""2019""",0,0,0,0,0,0,0
Maryland,Worcester,0,1,2015,0,0,0,0,0,0,0
Massachusetts,Franklin,1,0,2021,0,0,0,0,0,0,1
Massachusetts,Hampshire,1,0,2023,1,0,0,1,0,0,0
Massachusetts,Middlesex,1,0,2022,0,0,0,0,0,0,0
Massachusetts,Worcester,1,0,2019,0,0,0,0,0,0,0
Michigan,Baraga,0,1,2021,1,1,1,0,0,0,0
Michigan,Bay,0,1,2019,1,1,1,0,0,0,0
Michigan,Bay,1,1,2018,1,1,1,0,0,0,0
Michigan,Bay,1,1,2022,1,1,0,0,0,0,0
Michigan,Branch,0,1,2020,1,1,0,0,0,0,0
Michigan,Branch,0,1,2020,1,1,1,0,0,0,0
Michigan,Branch,0,1,2019,1,1,0,0,0,0,0
Michigan,Clinton,1,0,2020,1,0,0,0,0,0,0
Michigan,Clinton,1,1,2023,0,0,0,0,0,0,0
Michigan,Emmet,0,1,2021,0,1,1,0,0,0,0
Michigan,Emmet,0,1,2015,0,1,1,0,0,0,0
Michigan,Genesee,1,0,2022,0,0,0,0,0,0,0
Michigan,Genesee,1,1,NA,0,0,0,0,0,0,0
Michigan,Genesee,1,1,2022,1,0,0,0,0,0,0
Michigan,Houghton,0,1,2021,0,0,0,0,0,0,0
Michigan,Houghton,1,1,2021,0,0,0,0,0,0,0
Michigan,Huron,0,1,2015,1,1,0,0,0,0,0
Michigan,Huron,0,1,2016,0,0,1,0,0,0,0
Michigan,Ingham,0,1,2022,0,1,0,0,0,0,0
Michigan,Ingham,0,1,2022,0,1,0,0,0,0,0
Michigan,Lapeer,0,1,2019,1,0,1,0,0,0,0
Michigan,Lapeer,0,1,2018,1,0,1,0,0,0,0
Michigan,Leelanau,0,1,2016,0,0,0,0,0,0,0
Michigan,Lenawee,1,0,2023,1,0,0,0,0,0,0
Michigan,Lenawee,0,1,2011,0,0,0,0,0,0,0
Michigan,Lenawee,0,1,NA,1,0,1,0,0,0,0
Michigan,Livingston,1,0,2021,0,0,0,0,0,0,0
Michigan,Livingston,1,0,2023,0,0,0,0,0,0,0
Michigan,Livingston,1,0,2023,0,0,0,0,0,0,0
Michigan,Livingston,1,1,2023,0,0,0,0,0,0,0
Michigan,Livingstone,1,0,2023,0,0,0,0,0,0,0
Michigan,Marquette,1,1,NA,1,1,1,0,0,0,0
Michigan,Mason,0,1,NA,1,0,1,0,0,0,0
Michigan,Monroe,1,0,2023,0,0,0,0,0,0,0
Michigan,Monroe,1,0,2021,0,0,0,0,0,0,0
Michigan,Monroe,1,0,2020,0,0,0,0,0,0,0
Michigan,Monroe,1,0,2022,0,0,0,0,0,0,0
Michigan,Monroe,1,0,2018,0,0,0,0,0,0,0
Michigan,Monroe,1,0,2022,1,0,0,0,1,0,0
Michigan,Monroe,1,0,2023,1,0,0,0,1,0,0
Michigan,Montcalm,0,1,2021,1,0,0,0,0,0,0
Michigan,Montcalm,0,1,2022,1,1,0,0,0,0,0
Michigan,Montcalm,0,1,2021,1,0,1,0,1,0,0
Michigan,Montcalm,0,1,2021,1,1,1,0,0,0,0
Michigan,Montcalm,1,1,2023,1,1,1,0,0,0,0
Michigan,Montcalm,1,1,2023,1,1,1,0,0,0,0
Michigan,Muskegon,1,0,2023,0,0,0,0,0,0,1
Michigan,Muskegon,0,1,2019,1,0,1,0,1,0,0
Michigan,Oceana,1,1,2019,1,1,1,0,0,0,0
Michigan,Sanilac,0,1,2016,0,0,0,0,0,0,0
Michigan,Sanilac,0,1,2016,0,0,0,0,0,0,0
Michigan,Sanilac,0,1,2019,1,1,1,0,0,0,0
Michigan,Shiawassee,1,0,2021,0,0,0,0,0,0,0
Michigan,Shiawassee,0,1,2018,1,1,1,0,0,0,0
Michigan,St. Clair,1,1,2023,0,0,0,0,0,0,0
Michigan,Tuscola,0,1,2016,0,0,0,0,0,0,0
Michigan,Tuscola,0,1,2019,1,0,0,0,0,0,0
Michigan,Tuscola,0,1,NA,1,0,0,0,0,0,0
Michigan,Tuscola,0,1,2021,1,0,0,0,0,0,0
Michigan,Tuscola,0,1,2020,1,0,1,0,1,0,0
Michigan,Tuscola,0,1,2021,1,1,1,0,0,0,0
Michigan,Washtenaw,1,0,2022,0,0,0,0,0,0,0
